id;x;y
1;1.601554;42.546245 
2;53.847818;23.424076 
3;67.709953;33.93911 
4;-61.796428;17.060816 
5;-63.068615;18.220554 
6;20.168331;41.153332 
7;45.038189;40.069099 
8;-69.060087;12.226079 
9;17.873887;-11.202692 
10;-0.071389;-75.250973 
11;-63.616672;-38.416097 
12;-170.132217;-14.270972 
13;14.550072;47.516231 
14;133.775136;-25.274398 
15;-69.968338;12.52111 
16;47.576927;40.143105 
17;17.679076;43.915886 
18;-59.543198;13.193887 
19;90.356331;23.684994 
20;4.469936;50.503887 
21;-1.561593;12.238333 
22;25.48583;42.733883 
23;50.637772;25.930414 
24;29.918886;-3.373056 
25;2.315834;9.30769 
26;-64.75737;32.321384 
27;114.727669;4.535277 
28;-63.588653;-16.290154 
29;-51.92528;-14.235004 
30;-77.39628;25.03428 
31;90.433601;27.514162 
32;3.413194;-54.423199 
33;24.684866;-22.328474 
34;27.953389;53.709807 
35;-88.49765;17.189877 
36;-106.346771;56.130366 
37;96.870956;-12.164165 
38;21.758664;-4.038333 
39;20.939444;6.611111 
40;15.827659;-0.228021 
41;8.227512;46.818188 
42;-5.54708;7.539989 
43;-159.777671;-21.236736 
44;-71.542969;-35.675147 
45;12.354722;7.369722 
46;104.195397;35.86166 
47;-74.297333;4.570868 
48;-83.753428;9.748917 
49;-77.781167;21.521757 
50;-24.013197;16.002082 
51;105.690449;-10.447525 
52;33.429859;35.126413 
53;15.472962;49.817492 
54;10.451526;51.165691 
55;42.590275;11.825138 
56;9.501785;56.26392 
57;-61.370976;15.414999 
58;-70.162651;18.735693 
59;1.659626;28.033886 
60;-78.183406;-1.831239 
61;25.013607;58.595272 
62;30.802498;26.820553 
63;-12.885834;24.215527 
64;39.782334;15.179384 
65;-3.74922;40.463667 
66;40.489673;9.145 
67;25.748151;61.92411 
68;179.414413;-16.578193 
69;-59.523613;-51.796253 
70;150.550812;7.425554 
71;-6.911806;61.892635 
72;2.213749;46.227638 
73;11.609444;-0.803689 
74;-3.435973;55.378051 
75;-61.604171;12.262776 
76;43.356892;42.315407 
77;-53.125782;3.933889 
78;-2.585278;49.465691 
79;-1.023194;7.946527 
80;-5.345374;36.137741 
81;-42.604303;71.706936 
82;-15.310139;13.443182 
83;-9.696645;9.945587 
84;-62.067641;16.995971 
85;10.267895;1.650801 
86;21.824312;39.074208 
87;-36.587909;-54.429579 
88;-90.230759;15.783471 
89;144.793731;13.444304 
90;-15.180413;11.803749 
91;-58.93018;4.860416 
92;34.308825;31.354676 
93;114.109497;22.396428 
94;73.504158;-53.08181 
95;-86.241905;15.199999 
96;15.2;45.1 
97;-72.285215;18.971187 
98;19.503304;47.162494 
99;113.921327;-0.789275 
100;-8.24389;53.41291 
101;34.851612;31.046051 
102;-4.548056;54.236107 
103;78.96288;20.593684 
104;71.876519;-6.343194 
105;43.679291;33.223191 
106;53.688046;32.427908 
107;-19.020835;64.963051 
108;12.56738;41.87194 
109;-2.13125;49.214439 
110;-77.297508;18.109581 
111;36.238414;30.585164 
112;138.252924;36.204824 
113;37.906193;-0.023559 
114;74.766098;41.20438 
115;104.990963;12.565679 
116;-168.734039;-3.370417 
117;43.872219;-11.875001 
118;-62.782998;17.357822 
119;127.510093;40.339852 
120;127.766922;35.907757 
121;47.481766;29.31166 
122;-80.566956;19.513469 
123;66.923684;48.019573 
124;102.495496;19.85627 
125;35.862285;33.854721 
